Test Set,Kernel,deg,Negative Accuracy(Specificity),Positive Accuracy(Sensitivity),Total Accuracy
transfer_1,linear,-,39.68253968,73.95833333,0.521464646
transfer_2,linear,-,69.23076923,59.7826087,0.667613636
transfer_3,linear,-,81.52173913,75,0.795454545
transfer_4,linear,-,85.22727273,61.36363636,0.772727273
transfer_5,linear,-,80.68181818,59.09090909,0.734848485
transfer_6,linear,-,75,60.41666667,0.696969697
transfer_7,linear,-,75,51.5625,0.636363636
transfer_8,linear,-,87.5,60.41666667,0.727272727
transfer_9,linear,-,91.66666667,37.5,0.522727273
transfer_10,linear,-,61.66666667,50,0.553030303
transfer_11,linear,-,73.21428571,42.10526316,0.553030303
transfer_12,linear,-,60.9375,51.47058824,0.560606061
transfer_13,linear,-,61.84210526,53.57142857,0.583333333
transfer_14,linear,-,76.19047619,58.33333333,0.696969697
transfer_15,linear,-,59.52380952,62.5,0.606060606
transfer_16,linear,-,50,44.23076923,0.477272727
transfer_17,linear,-,48.61111111,53.33333333,0.507575758
transfer_18,linear,-,70,41.66666667,0.545454545
transfer_19,linear,-,81.57894737,46.42857143,0.666666667
transfer_20,linear,-,83.69565217,52.5,0.742424242
transfer_21,linear,-,54.16666667,100,0.583333333
transfer_22,linear,-,59.16666667,91.66666667,0.621212121
transfer_23,linear,-,68.75,87.5,0.704545455
transfer_24,linear,-,55,100,0.590909091
,,,,,
,,Average:,68.74394554,61.43324756,0.627827757
