leaning rate,max training epochs,batch_size,h1,h2,h3,h4,Percentage for Test set
cost/10,1000,10,100,100,100,100,12.5
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,346.0,434.0,142.0,662.0,0.34325396825396826,0.7534722222222222,0.49242424242424243
transfer 2,348.0,112.0,72.0,172.0,0.6692307692307692,0.6086956521739131,0.6534090909090909
transfer 3,144.0,56.0,24.0,40.0,0.782608695652174,0.7,0.7575757575757576
transfer 4,146.0,42.0,46.0,30.0,0.8295454545454546,0.4772727272727273,0.7121212121212122
transfer 5,148.0,50.0,38.0,28.0,0.8409090909090909,0.5681818181818182,0.75
transfer 6,138.0,58.0,38.0,30.0,0.8214285714285714,0.6041666666666666,0.7424242424242424
transfer 7,118.0,58.0,70.0,18.0,0.8676470588235294,0.453125,0.6666666666666666
transfer 8,70.0,52.0,44.0,10.0,0.875,0.5416666666666666,0.6931818181818182
transfer 9,22.0,16.0,48.0,2.0,0.9166666666666666,0.25,0.4318181818181818
transfer 10,62.0,60.0,84.0,58.0,0.5166666666666667,0.4166666666666667,0.4621212121212121
transfer 11,92.0,58.0,94.0,20.0,0.8214285714285714,0.3815789473684211,0.5681818181818182
transfer 12,90.0,64.0,72.0,38.0,0.703125,0.47058823529411764,0.5833333333333334
transfer 13,90.0,60.0,52.0,62.0,0.5921052631578947,0.5357142857142857,0.5681818181818182
transfer 14,114.0,60.0,36.0,54.0,0.6785714285714286,0.625,0.6590909090909091
transfer 15,108.0,54.0,42.0,60.0,0.6428571428571429,0.5625,0.6136363636363636
transfer 16,80.0,46.0,58.0,80.0,0.5,0.4423076923076923,0.4772727272727273
transfer 17,92.0,58.0,62.0,52.0,0.6388888888888888,0.48333333333333334,0.5681818181818182
transfer 18,94.0,38.0,106.0,26.0,0.7833333333333333,0.2638888888888889,0.5
transfer 19,112.0,50.0,62.0,40.0,0.7368421052631579,0.44642857142857145,0.6136363636363636
transfer 20,144.0,34.0,46.0,40.0,0.782608695652174,0.425,0.6742424242424242
transfer 21,106.0,24.0,0.0,134.0,0.44166666666666665,1.0,0.49242424242424243
transfer 22,118.0,22.0,2.0,122.0,0.49166666666666664,0.9166666666666666,0.5303030303030303
transfer 23,96.0,16.0,0.0,64.0,0.6,1.0,0.6363636363636364
transfer 24,40.0,8.0,0.0,40.0,0.5,1.0,0.5454545454545454
