Model type,Regularization,Iteration,Accuracy,L0 Precision,L1 Precision,L0 Recall,L1 Recall,L0 F1,L1 F1,
Validation Data,0.1,1,0.8,1.0,0.6,0.7142857142857143,1.0,0.8333333333333333,0.7499999999999999,
Validation Data,0.1,2,0.8,1.0,0.6,0.7142857142857143,1.0,0.8333333333333333,0.7499999999999999,
Validation Data,0.1,3,0.8,1.0,0.6,0.7142857142857143,1.0,0.8333333333333333,0.7499999999999999,
Validation Data,0.1,4,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,5,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,6,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,7,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,8,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,9,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,10,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,11,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,12,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,13,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,14,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,15,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,16,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,17,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,18,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,19,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,20,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,21,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,22,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,23,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,24,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,25,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,26,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,27,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,28,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,29,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,30,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,31,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,32,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,33,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,34,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,35,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,36,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,37,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,38,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,39,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,40,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,41,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,42,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,43,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,44,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,45,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,46,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,47,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,48,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
Validation Data,0.1,49,0.85,1.0,0.6666666666666666,0.7857142857142857,1.0,0.88,0.8,
