"Model type","Regularization","Iteration","Accuracy","Precision (Label: 0)","Precision (Label: 1)","Recall (Label: 0)","Recall (Label: 1)","F1 (Label: 0)","F1 (Label: 1)"
"All data","1.0E-7","1","0.75","0.75","NaN","1.0","0.0","0.8571428571428571","NaN"
"All data","1.0E-7","2","0.75","0.75","NaN","1.0","0.0","0.8571428571428571","NaN"
"All data","1.0E-7","3","0.75","0.75","NaN","1.0","0.0","0.8571428571428571","NaN"
"All data","1.0E-7","4","0.7","0.7647058823529411","0.3333333333333333","0.8666666666666667","0.2","0.8125","0.25"
"All data","1.0E-7","5","0.7","0.8","0.4","0.8","0.4","0.8000000000000002","0.4000000000000001"
"All data","1.0E-7","6","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","7","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","8","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","9","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","10","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","11","0.65","0.8333333333333334","0.375","0.6666666666666666","0.6","0.7407407407407408","0.4615384615384615"
"All data","1.0E-7","12","0.65","0.8333333333333334","0.375","0.6666666666666666","0.6","0.7407407407407408","0.4615384615384615"
"All data","1.0E-7","13","0.65","0.8333333333333334","0.375","0.6666666666666666","0.6","0.7407407407407408","0.4615384615384615"
"All data","1.0E-7","14","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","15","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","16","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","17","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","18","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","19","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","20","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","21","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","22","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","23","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","24","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","25","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","26","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","27","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","28","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","29","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","30","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","31","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","32","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","33","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","34","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","35","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","36","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","37","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","38","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","39","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","40","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","41","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","42","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","43","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","44","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
"All data","1.0E-7","45","0.7","0.8461538461538461","0.42857142857142855","0.7333333333333333","0.6","0.7857142857142856","0.5"
